,ScenarioID,CountryID,TechID,JSTypeVSMID,TechDescription,TransTypeID,VehTypeID,MassCatID,VKM
117,1,9,9200.0,1,Road-Large (car)-Euro 5 (2009-14)-Passenger Transport,1.0,3.0,3.0,0.012350407957142857
118,1,9,9200.0,2,Road-Large (car)-Euro 5 (2009-14)-Passenger Transport,1.0,3.0,3.0,0.0061752039785714285
119,1,9,9200.0,3,Road-Large (car)-Euro 5 (2009-14)-Passenger Transport,1.0,3.0,3.0,0.0061752039785714285
120,1,9,245.0,1,Road-Large (car)-Euro 6 (2015-19)-Passenger Transport,1.0,3.0,3.0,0.0021794837571428574
121,1,9,245.0,2,Road-Large (car)-Euro 6 (2015-19)-Passenger Transport,1.0,3.0,3.0,0.0010897418785714287
122,1,9,245.0,3,Road-Large (car)-Euro 6 (2015-19)-Passenger Transport,1.0,3.0,3.0,0.0010897418785714287
123,1,9,9245.0,1,Road-Large (car)-Euro 6 (2015-19)-Passenger Transport,1.0,3.0,3.0,0.012350407957142857
124,1,9,9245.0,2,Road-Large (car)-Euro 6 (2015-19)-Passenger Transport,1.0,3.0,3.0,0.0061752039785714285
125,1,9,9245.0,3,Road-Large (car)-Euro 6 (2015-19)-Passenger Transport,1.0,3.0,3.0,0.0061752039785714285
126,1,9,265.0,1,Road-Small (car)-Conventional (pre-EURO)-Passenger Transport,1.0,3.0,1.0,0.0023643715714285717
127,1,9,265.0,2,Road-Small (car)-Conventional (pre-EURO)-Passenger Transport,1.0,3.0,1.0,0.0011821857857142858
128,1,9,265.0,3,Road-Small (car)-Conventional (pre-EURO)-Passenger Transport,1.0,3.0,1.0,0.0011821857857142858
129,1,9,9265.0,1,Road-Small (car)-Conventional (pre-EURO)-Passenger Transport,1.0,3.0,1.0,0.013398105571428573
130,1,9,9265.0,2,Road-Small (car)-Conventional (pre-EURO)-Passenger Transport,1.0,3.0,1.0,0.006699052785714287
131,1,9,9265.0,3,Road-Small (car)-Conventional (pre-EURO)-Passenger Transport,1.0,3.0,1.0,0.006699052785714287
132,1,9,266.0,1,Road-Small (car)-Euro 1 (1992-96)-Passenger Transport,1.0,3.0,1.0,0.0023643715714285717
133,1,9,266.0,2,Road-Small (car)-Euro 1 (1992-96)-Passenger Transport,1.0,3.0,1.0,0.0011821857857142858
134,1,9,266.0,3,Road-Small (car)-Euro 1 (1992-96)-Passenger Transport,1.0,3.0,1.0,0.0011821857857142858
135,1,9,9266.0,1,Road-Small (car)-Euro 1 (1992-96)-Passenger Transport,1.0,3.0,1.0,0.013398105571428573
136,1,9,9266.0,2,Road-Small (car)-Euro 1 (1992-96)-Passenger Transport,1.0,3.0,1.0,0.006699052785714287
